Municipality,Year,BusinessName,IndustryLabel,Employees,LATITUDE,LONGITUDE,Maps
Baie Verte,2019,Annette's Sewing Boutique,"Sporting goods, hobby, book and music stores",N/A,49.9403321,-56.1889972,Click here
Baie Verte,2019,Artistic Hair Designs,Personal care services and other personal services,N/A,49.9375153,-56.1949184,Click here
Baie Verte,2019,Audra's House of Beauty,Personal care services and other personal services,N/A,49.92309444,-56.22705833,Click here
Baie Verte,2019,Baie Verte Building Supplies,Building material and garden equipment and supplies dealers,N/A,49.937537,-56.1911403,Click here
Baie Verte,2019,Baie Verte Direct Charge Co-Op,Food and beverage stores,N/A,49.937537,-56.1911403,Click here
Baie Verte,2019,Baie Verte Home Furniture,Furniture and home furnishings stores,N/A,49.93771,-56.190903,Click here
Baie Verte,2019,Baie Verte Solutions,Electronics and appliance stores,N/A,49.91744437,-56.22668248,Click here
Baie Verte,2019,Baie Vista Inn,Traveller accommodation,N/A,49.92202567,-56.23033398,Click here
Baie Verte,2019,Barker's Construction Ltd.,Construction,N/A,49.91954374,-56.23099574,Click here
Baie Verte,2019,Bayco Sales and Rentals Ltd.,Motor vehicle and parts dealers,N/A,49.9193605,-56.2308435,Click here
Baie Verte,2019,Bistro on the Bay,Food services and drinking places,N/A,49.93208677,-56.20255491,Click here
Baie Verte,2019,Body Works Fitness,"Amusement, recreation, performing arts, spectator sports and related industries, and heritage institutions",N/A,49.9318323,-56.202986,Click here
Baie Verte,2019,Bruce's Service Centre,Automotive repair and maintenance,N/A,49.9219253,-56.23221149,Click here
Baie Verte,2019,C&C Variety,Food and beverage stores,N/A,49.92184507,-56.22408328,Click here
Baie Verte,2019,Central Convenience,Food and beverage stores,N/A,49.939329,-56.18999741,Click here
Baie Verte,2019,Cheeky Monsters Clothes,Clothing and clothing accessories stores,N/A,49.9193267,-56.2262052,Click here
Baie Verte,2019,Chelsea's Bold Designs,Personal care services and other personal services,N/A,49.9177511,-56.2254323,Click here
Baie Verte,2019,Clover Farm,Food and beverage stores,N/A,49.935636,-56.1994609,Click here
Baie Verte,2019,Cohen's Home Furnishings,Furniture and home furnishings stores,N/A,49.93410381,-56.2007718,Click here
Baie Verte,2019,Color Your Auto Ltd.,Automotive repair and maintenance,N/A,49.92801219,-56.21278949,Click here
Baie Verte,2019,Copper Ridge Family Dental Clinic,Ambulatory health care services,N/A,49.9197561,-56.2307438,Click here
Baie Verte,2019,Copper Stop,Gasoline stations,N/A,49.9230938,-56.227057,Click here
Baie Verte,2019,Dempsey's Mechanical Ltd.,Automotive repair and maintenance,N/A,49.9232135,-56.22299749,Click here
Baie Verte,2019,Dorset Country Inn,Traveller accommodation,N/A,49.93941792,-56.19191407,Click here
Baie Verte,2019,Doyles Pizza,Food services and drinking places,N/A,49.938945,-56.1905409,Click here
Baie Verte,2019,DRS Sales,Motor vehicle and parts dealers,N/A,49.91927684,-56.23077204,Click here
Baie Verte,2019,First Choice Vision Centre,Health and personal care stores,N/A,49.91851461,-56.23089707,Click here
Baie Verte,2019,Ford Entreprises,Miscellaneous store retailers,N/A,49.93507549,-56.2001738,Click here
Baie Verte,2019,Foster Funeral Home,Funeral services,N/A,49.93822384,-56.19217376,Click here
Baie Verte,2019,Great Canadian Dollar Store,General merchandise stores,N/A,49.93625506,-56.19867328,Click here
Baie Verte,2019,Green Depot,Waste management and remediation services,N/A,49.93657401,-56.19823187,Click here
Baie Verte,2019,Guy J. Bailey Ltd.,Automotive repair and maintenance,N/A,49.92129909,-56.23411476,Click here
Baie Verte,2019,H&R Block,"Accounting, tax preparation, bookkeeping and payroll services",N/A,49.9220216,-56.2289549,Click here
Baie Verte,2019,Hair Quest,Personal care services and other personal services,N/A,49.91669204,-56.22890843,Click here
Baie Verte,2019,Howard's Heating Services,Construction,N/A,49.93985592,-56.19173285,Click here
Baie Verte,2019,J & R Auto Clinic,Automotive repair and maintenance,N/A,49.9189486,-56.2309626,Click here
Baie Verte,2019,Mary Brown's,Food services and drinking places,N/A,49.93451724,-56.2004568,Click here
Baie Verte,2019,Mary Ellen's Nails,Personal care services and other personal services,N/A,49.9199526,-56.21650312,Click here
Baie Verte,2019,Rambler Metals and Mining Canada,"Copper, nickel, lead and zinc ore mining",N/A,49.9218759,-56.22877731,Click here
Baie Verte,2019,Riff's Department Store,General merchandise stores,N/A,49.93771088,-56.19266402,Click here
Baie Verte,2019,Samy's Restaurant,Food services and drinking places,N/A,49.93815842,-56.1915953,Click here
Baie Verte,2019,Saunders' Taxi,Taxi and limousine service,N/A,49.9445849,-56.17731192,Click here
Baie Verte,2019,Shoppers Drug Mart,Health and personal care stores,N/A,49.9360963,-56.1997064,Click here
Baie Verte,2019,Subway,Food services and drinking places,N/A,49.9216934,-56.2288994,Click here
Baie Verte,2019,The Co-Operators- Deborah Sacrey,"Agencies, brokerages and other insurance related activities",N/A,49.939883,-56.191565,Click here
Baie Verte,2019,the medicine shoppe pharmacy,Health and personal care stores,N/A,49.92366257,-56.22373633,Click here
Baie Verte,2019,The Nugget Sports Bar,Food services and drinking places,N/A,49.9397887,-56.1891708,Click here
Baie Verte,2019,The Paint Shop,Building material and garden equipment and supplies dealers,N/A,49.9192836,-56.23077597,Click here
Baie Verte,2019,Unique Creations Hair Salon,Personal care services and other personal services,N/A,49.93553135,-56.2035771,Click here
Bird Cove,2019,50 centuries interpretation centre & cultures society,"Amusement, recreation, performing arts, spectator sports and related industries, and heritage institutions",N/A,51.0525865,-56.931017,Click here
Bird Cove,2019,Town Council of Bird Cove,"Local, municipal and regional public administration",N/A,51.05408251,-56.92656879,Click here
Bishop's Falls,2019,360 AUTO RECYCLING AND U-PICK,Waste management and remediation services,N/A,49.0279178,-55.4444817,Click here
Bishop's Falls,2019,ADAMS CONSTRUCTION,Construction,N/A,48.9943847,-55.5212011,Click here
Bishop's Falls,2019,armtec-drainage solutions,"Personal and household goods, and building material and supplies wholesaler-distributors",N/A,49.0038726,-55.5049312,Click here
Bishop's Falls,2019,BEAUTIFUL FLOWERS NURSERY AND GARDEN CENTRE,Building material and garden equipment and supplies dealers,N/A,49.03485119,-55.44568931,Click here
Bishop's Falls,2019,BIG LLOYD'S MIDTOWN AUTO,Automotive repair and maintenance,N/A,49.013346,-55.4895825,Click here
Bishop's Falls,2019,BISHOPS FALLS CORRECTIONAL CENTRE,Provincial and territorial public administration,N/A,49.0224038,-55.4572667,Click here
Bishop's Falls,2019,BISHOPS FALLS FUNERAL HOME AND CREMATORIUM,Funeral services,N/A,49.0077048,-55.5036033,Click here
Bishop's Falls,2019,BISHOPS FALLS MEDICAL CLINIC,Ambulatory health care services,N/A,49.008045,-55.501487,Click here
Bishop's Falls,2019,BLANCHARD'S WOODWORKING LTD,Household and institutional furniture and kitchen cabinet manufacturing,N/A,49.0060335,-55.5017067,Click here
Bishop's Falls,2019,BRIGHT BEGINNINGS CHILDCARE,Social assistance,N/A,49.0107246,-55.49497829,Click here
Bishop's Falls,2019,BROOKSALE COUNTRY INN AND RV PARK,"RV (recreational vehicle) parks, recreational camps, and rooming and boarding houses",N/A,48.99085691,-55.5409008,Click here
Bishop's Falls,2019,CENTRAL STORAGE LTD,"Lessors of real estate and financial investment services, funds and other financial vehicles",N/A,49.0056868,-55.504877,Click here
Bishop's Falls,2019,CENTRAL TECHNICAL SERVICES,Automotive repair and maintenance,N/A,49.0198295,-55.4832358,Click here
Bishop's Falls,2019,CENTRAL VEGETABLE PRODUCTS,Crop and animal production,N/A,48.9888098,-55.5345695,Click here
Bishop's Falls,2019,CHAPPY'S SPORTS BAR,Food services and drinking places,N/A,49.0069103,-55.501956,Click here
Bishop's Falls,2019,CIRCLE K-IRVING,Gasoline stations,N/A,49.0091571,-55.50811019,Click here
Bishop's Falls,2019,cookes antiques,Miscellaneous store retailers,N/A,49.0211489,-55.45937971,Click here
Bishop's Falls,2019,D&R CONVENIENCE,Food and beverage stores,N/A,48.9907225,-55.53132521,Click here
Bishop's Falls,2019,DENINE'S CLASSIC CUTS,Personal care services and other personal services,N/A,49.0147578,-55.4772812,Click here
Bishop's Falls,2019,EXPLOITS WILDERNESS,Food and beverage stores,N/A,49.0065985,-55.5036068,Click here
Bishop's Falls,2019,FUREY'S TRAILWAY AND TAKE OUT,Food services and drinking places,N/A,49.0046969,-55.5076409,Click here
Bishop's Falls,2019,GLEN'S ULTRAMAR,Gasoline stations,N/A,49.00776251,-55.50295222,Click here
Bishop's Falls,2019,HI-POINT INDUSTRIES,Other chemical product manufacturing,N/A,49.0344637,-55.41562359,Click here
Bishop's Falls,2019,HOSKINS FUNERAL HOME,Funeral services,N/A,49.0180623,-55.473856,Click here
Bishop's Falls,2019,KNIGHTS OF COLUMBUS,"Grant-making, civic, and professional and similar organizations",N/A,49.0118401,-55.4929238,Click here
Bishop's Falls,2019,KRISTA'S CLOVER FARM,Food and beverage stores,N/A,49.0160321,-55.47842819,Click here
Bishop's Falls,2019,LUCKY FORTUNE RESTAURANT,Food services and drinking places,N/A,48.98910457,-55.53919985,Click here
Bishop's Falls,2019,MODERN EDGE,Personal care services and other personal services,N/A,48.9987765,-55.5120713,Click here
Bishop's Falls,2019,MORGAN PRINTING,Printing and related support activities,N/A,49.0023663,-55.50712091,Click here
Bishop's Falls,2019,MURCO CONSTRUCTION,Construction,N/A,48.9911173,-55.5299647,Click here
Bishop's Falls,2019,MYRNA'S HAIRSTYLING AND TANNING,Personal care services and other personal services,N/A,49.0077633,-55.5024295,Click here
Bishop's Falls,2019,NEWFOUNDLAND STYRO INC,Plastics and rubber products manufacturing,N/A,49.0097241,-55.5056179,Click here
Bishop's Falls,2019,PERSONAL TOUCH,Personal care services and other personal services,N/A,49.0189219,-55.4730511,Click here
Bishop's Falls,2019,REID CONSTRUCTION,Construction,N/A,48.99199039,-55.5281358,Click here
Bishop's Falls,2019,ROBINSON'S PERSONAL CARE HOME,Nursing and residential care facilities,N/A,49.0043103,-55.5049559,Click here
Bishop's Falls,2019,SAFETY MARKETING,"Advertising, public relations, and related services",N/A,49.0062502,-55.5055415,Click here
Bishop's Falls,2019,SHOPPERS DRUG MART,Health and personal care stores,N/A,49.0075662,-55.5013164,Click here
Bishop's Falls,2019,smithy's road serrvice ltd,Automotive repair and maintenance,N/A,48.9919041,-55.5293736,Click here
Bishop's Falls,2019,STRUTT HAIR AND TANNING SALON,Personal care services and other personal services,N/A,49.0150266,-55.48485759,Click here
Bishop's Falls,2019,TEMPLE'S BACKHOE SERVICE,Construction,N/A,48.9950138,-55.5186173,Click here
Bishop's Falls,2019,THE ICE CREAM PARLOUR,Food services and drinking places,N/A,49.0116786,-55.4923847,Click here
Bishop's Falls,2019,TIM HORTONS,Food services and drinking places,N/A,49.0085283,-55.5083317,Click here
Bishop's Falls,2019,WISHES FLOWERS AND GIFTS,Miscellaneous store retailers,N/A,49.0065087,-55.5053105,Click here
Botwood,2019,anthony insurance,"Agencies, brokerages and other insurance related activities",N/A,49.14865441,-55.33991059,Click here
Botwood,2019,at your pace fitness centre,"Amusement, recreation, performing arts, spectator sports and related industries, and heritage institutions",N/A,49.147279,-55.3411678,Click here
Botwood,2019,bakers paving,Construction,N/A,49.1185446,-55.3717921,Click here
Botwood,2019,bank of montreal,Banking and other depository credit intermediation,N/A,49.1460764,-55.3417817,Click here
Botwood,2019,bayside taxi,Taxi and limousine service,N/A,49.14229829,-55.3440853,Click here
Botwood,2019,bessie's cottage,Traveller accommodation,N/A,49.1218989,-55.36451639,Click here
Botwood,2019,botwood foodland,Food and beverage stores,N/A,49.1461521,-55.3426381,Click here
Botwood,2019,botwood funeral home,Funeral services,N/A,49.1570286,-55.3579482,Click here
Botwood,2019,botwood green depot,Waste management and remediation services,N/A,49.14219609,-55.3455508,Click here
Botwood,2019,botwood home hardware,Building material and garden equipment and supplies dealers,N/A,49.1451387,-55.34276,Click here
Botwood,2019,central respiratory care,Ambulatory health care services,N/A,49.1426234,-55.3482481,Click here
Botwood,2019,coleman's grocery,Food and beverage stores,N/A,49.1424973,-55.3566797,Click here
Botwood,2019,d byrne and sons,Construction,N/A,49.14229829,-55.3440853,Click here
Botwood,2019,dean's greenhouse and flower shop,Building material and garden equipment and supplies dealers,N/A,49.1508732,-55.3472944,Click here
Botwood,2019,destiny's tanning salon,Personal care services and other personal services,N/A,49.1517118,-55.37534371,Click here
Botwood,2019,dockside inn,Traveller accommodation,N/A,49.1439766,-55.3413647,Click here
Botwood,2019,donnini's express,Food services and drinking places,N/A,49.1457044,-55.3417769,Click here
Botwood,2019,Dr. warren hall pdc inc,Ambulatory health care services,N/A,49.1465326,-55.3422309,Click here
Botwood,2019,exploits hostel and suites,Traveller accommodation,N/A,49.1456952,-55.3417985,Click here
Botwood,2019,freake's ambulance svc,Ambulatory health care services,N/A,49.1426234,-55.3482481,Click here
Botwood,2019,george's barber shop,Personal care services and other personal services,N/A,49.1494009,-55.34228621,Click here
Botwood,2019,gone to the dogs,Personal care services and other personal services,N/A,49.1360686,-55.3491067,Click here
Botwood,2019,great canadian dollar store,General merchandise stores,N/A,49.1382313,-55.3462131,Click here
Botwood,2019,hannaford financial services,"Lessors of real estate and financial investment services, funds and other financial vehicles",N/A,49.1464501,-55.3421719,Click here
Botwood,2019,hoskins funeral home,Funeral services,N/A,49.14738281,-55.3423182,Click here
Botwood,2019,imperial variety,Food and beverage stores,N/A,49.1454968,-55.3417087,Click here
Botwood,2019,in-revolution/INR computer services,Repair and maintenance (except automotive),N/A,49.145239,-55.342132,Click here
Botwood,2019,island breeze restaurant,Food services and drinking places,N/A,49.1517978,-55.3432471,Click here
Botwood,2019,james convenience,Food and beverage stores,N/A,49.1495383,-55.3461396,Click here
Botwood,2019,jan's paralegal services,Legal services,N/A,49.1456996,-55.3430334,Click here
Botwood,2019,janice's gifts and stuff,Miscellaneous store retailers,N/A,49.13139381,-55.3567443,Click here
Botwood,2019,jaqueline's body care salon,Personal care services and other personal services,N/A,49.1492263,-55.3376812,Click here
Botwood,2019,judy's hair fashions,Personal care services and other personal services,N/A,49.1387523,-55.354052,Click here
Botwood,2019,karens hairbase salon,Personal care services and other personal services,N/A,49.1509934,-55.3407674,Click here
Botwood,2019,m&g automotive,Automotive repair and maintenance,N/A,49.1513565,-55.34653421,Click here
Botwood,2019,mary brown's,Food services and drinking places,N/A,49.1483194,-55.346587,Click here
Botwood,2019,myrl's irving and convenience,Gasoline stations,N/A,49.1411214,-55.3424255,Click here
Botwood,2019,newfoundland and labrador asphalt ltd,Petroleum and coal product manufacturing (except petroleum refineries),N/A,49.1467054,-55.34092731,Click here
Botwood,2019,royal canadian legion branch 5,"Grant-making, civic, and professional and similar organizations",N/A,49.14276838,-55.34455463,Click here
Botwood,2019,sacrey's used cars,Motor vehicle and parts dealers,N/A,49.1512575,-55.343259,Click here
Botwood,2019,SHANAWDITHIT CAMPGROUND & RV PARK,"RV (recreational vehicle) parks, recreational camps, and rooming and boarding houses",N/A,49.1125136,-55.37982431,Click here
Botwood,2019,shoppers drug mart,Health and personal care stores,N/A,49.1448605,-55.3424811,Click here
Botwood,2019,spa by the bay,Personal care services and other personal services,N/A,49.1490592,-55.3404978,Click here
Botwood,2019,t&e construction,Construction,N/A,49.1479512,-55.33839449,Click here
Botwood,2019,TBS consulting,"Employment services and management, scientific and technical consulting services",N/A,49.15753699,-55.35360691,Click here
Botwood,2019,the hair shop,Personal care services and other personal services,N/A,49.14464361,-55.3457564,Click here
Botwood,2019,TNS BUSINESS SOLUTIONS INC - H&R BLOCK,"Accounting, tax preparation, bookkeeping and payroll services",N/A,49.1473147,-55.34097689,Click here
Botwood,2019,ultramar,Gasoline stations,N/A,49.1194026,-55.3746779,Click here
Botwood,2019,unique construction,Construction,N/A,49.1415708,-55.3540019,Click here
Botwood,2019,white's one stop,Food and beverage stores,N/A,49.1400284,-55.350847,Click here
Conche,2019,canada post,Postal service,N/A,50.88665537,-55.89165784,Click here
Conche,2019,sacred heart catholic church,Religious organizations,N/A,50.88614063,-55.88989776,Click here
Corner Brook,2019,a cut above,Personal care services and other personal services,N/A,48.9516632,-57.9424473,Click here
Corner Brook,2019,a line atlantic,Miscellaneous merchant wholesalers,N/A,48.9495363,-57.91661059,Click here
Corner Brook,2019,A1 electronics,Electronics and appliance stores,N/A,48.95111,-57.9403011,Click here
Corner Brook,2019,A1 safety and training and consulting ltd,Elementary and secondary schools plus other educational services,N/A,48.9519658,-57.9421095,Click here
Corner Brook,2019,academy canada,Community colleges and C.E.G.E.P.s,N/A,48.9425959,-57.939265,Click here
Corner Brook,2019,academy canada- head office,Community colleges and C.E.G.E.P.s,N/A,48.9433739,-57.9792747,Click here
Corner Brook,2019,accurate construction ltd,Construction,N/A,48.9266889,-57.9815855,Click here
Corner Brook,2019,action car and truck accessories,Motor vehicle and parts dealers,N/A,48.9474913,-57.9142034,Click here
Corner Brook,2019,adam baker law office,Legal services,N/A,48.9542383,-57.9440668,Click here
Corner Brook,2019,aesthetic medicine associates,Ambulatory health care services,N/A,48.9507967,-57.9405908,Click here
Corner Brook,2019,air liquide canada store,Miscellaneous merchant wholesalers,N/A,48.9390705,-57.9771925,Click here
Corner Brook,2019,AJ's Pub and Billards,Food services and drinking places,N/A,48.9519493,-57.9554497,Click here
Corner Brook,2019,AJC personal injury law,Legal services,N/A,48.9523563,-57.9466775,Click here
Corner Brook,2019,Alteen's jewellery,Clothing and clothing accessories stores,N/A,48.952038,-57.9551663,Click here
Corner Brook,2019,Altronics Ltd,Electronics and appliance stores,N/A,48.9518839,-57.9549724,Click here
Corner Brook,2019,AMEC environment and infrastructure,"Architectural, engineering and related services",N/A,48.9490395,-57.9154601,Click here
Corner Brook,2019,Anderson Engineering Consultants Limited,"Architectural, engineering and related services",N/A,48.9428089,-57.9464301,Click here
Corner Brook,2019,angela's paw spa,Personal care services and other personal services,N/A,48.9523419,-57.9469348,Click here
Corner Brook,2019,anne robinson infusion clinic,Ambulatory health care services,N/A,48.9524904,-57.9507235,Click here
Corner Brook,2019,anthony insurance,"Agencies, brokerages and other insurance related activities",N/A,48.95228428,-57.95133678,Click here
Corner Brook,2019,AON reed stenhouse inc,"Agencies, brokerages and other insurance related activities",N/A,48.95193109,-57.94760881,Click here
Corner Brook,2019,Archaic Tattoo,Personal care services and other personal services,N/A,48.95202316,-57.95505108,Click here
Corner Brook,2019,ardene,Clothing and clothing accessories stores,N/A,48.9474653,-57.9171639,Click here
Corner Brook,2019,Aroma's plus,Food services and drinking places,N/A,48.9506197,-57.9507648,Click here
Corner Brook,2019,arthur james clothing company,Clothing and clothing accessories stores,N/A,48.9507238,-57.9558405,Click here
Corner Brook,2019,atlantic denture clinic,Ambulatory health care services,N/A,48.9500853,-57.9400949,Click here
Corner Brook,2019,atlantic engineering consultants ltd,"Architectural, engineering and related services",N/A,48.9539097,-57.94453241,Click here
Corner Brook,2019,atlantic family institute,Social assistance,N/A,48.9525013,-57.9472316,Click here
Corner Brook,2019,atlantic hydraulic and machine ltd,Repair and maintenance (except automotive),N/A,48.953004,-57.91811101,Click here
Corner Brook,2019,atlantic minerals ltd,Stone mining and quarrying,N/A,48.9505636,-57.9437683,Click here
Corner Brook,2019,atlantic ready mix,Cement and concrete product manufacturing,N/A,48.961881,-57.90877029,Click here
Corner Brook,2019,autism society of NL-western,"Grant-making, civic, and professional and similar organizations",N/A,48.95424718,-57.94406748,Click here
Corner Brook,2019,b & b sales ltd,"Machinery, equipment and supplies merchant wholesalers",N/A,48.9420269,-57.9467988,Click here
Corner Brook,2019,b and g confectionary,Food and beverage stores,N/A,48.9429213,-57.9754663,Click here
Corner Brook,2019,balanced body massage therapy clinic,Ambulatory health care services,N/A,48.95018001,-57.94114699,Click here
Corner Brook,2019,bank of montreal,Banking and other depository credit intermediation,N/A,48.9530598,-57.9445771,Click here
Corner Brook,2019,bank of montreal,Banking and other depository credit intermediation,N/A,48.9507238,-57.9558405,Click here
Corner Brook,2019,barnes sporting goods,"Sporting goods, hobby, book and music stores",N/A,48.9570945,-57.9409313,Click here
Corner Brook,2019,barry group inc,Seafood product preparation and packaging,N/A,48.95949431,-57.99847079,Click here
Corner Brook,2019,bay of islands yacht club,"Amusement, recreation, performing arts, spectator sports and related industries, and heritage institutions",N/A,48.9632866,-58.01835849,Click here
Corner Brook,2019,BDO canada llp,"Accounting, tax preparation, bookkeeping and payroll services",N/A,48.95475085,-57.94357933,Click here
Corner Brook,2019,belfor property restoration,Construction,N/A,48.9451505,-57.9148872,Click here
Corner Brook,2019,bell mobility,Electronics and appliance stores,N/A,48.9506992,-57.9512474,Click here
Corner Brook,2019,bell mobility inc,Electronics and appliance stores,N/A,48.9474653,-57.9171639,Click here
Corner Brook,2019,beltone audiology and hearing clinic,Ambulatory health care services,N/A,48.9516754,-57.954507,Click here
Corner Brook,2019,ben's bakery outlet,Food and beverage stores,N/A,48.9417144,-57.94732371,Click here
Corner Brook,2019,bentley,Clothing and clothing accessories stores,N/A,48.94736758,-57.91769659,Click here
Corner Brook,2019,Best coast cafe,Food services and drinking places,N/A,48.9519462,-57.955265,Click here
Corner Brook,2019,birchy taxi cabs,Taxi and limousine service,N/A,48.9581526,-57.99543,Click here
Corner Brook,2019,bishop financial services,"Lessors of real estate and financial investment services, funds and other financial vehicles",N/A,48.9524223,-57.9438991,Click here
Corner Brook,2019,bizou,Clothing and clothing accessories stores,N/A,48.9473677,-57.9176969,Click here
Corner Brook,2019,blanchard's heating and cooling ltd,Construction,N/A,48.950893,-57.953985,Click here
Corner Brook,2019,blomidon golf and country club,"Amusement, recreation, performing arts, spectator sports and related industries, and heritage institutions",N/A,48.9413021,-57.92191219,Click here
Corner Brook,2019,blow me down cross country ski club,"Amusement, recreation, performing arts, spectator sports and related industries, and heritage institutions",N/A,48.9223245,-57.9915929,Click here
Corner Brook,2019,BMO,Banking and other depository credit intermediation,N/A,48.9530598,-57.9445771,Click here
Corner Brook,2019,BNR distribution and transmission,Automotive repair and maintenance,N/A,48.906676,-57.90454549,Click here
Corner Brook,2019,boathouse,Clothing and clothing accessories stores,N/A,48.9474653,-57.9171639,Click here
Corner Brook,2019,bob's barber shop,Personal care services and other personal services,N/A,48.95205801,-57.94246401,Click here
Corner Brook,2019,bob's electric ltd,Construction,N/A,48.956133,-57.936376,Click here
Corner Brook,2019,bogart's jewellers,Clothing and clothing accessories stores,N/A,48.9470799,-57.9161084,Click here
Corner Brook,2019,bonnell cole janes CPA,"Accounting, tax preparation, bookkeeping and payroll services",N/A,48.9560896,-57.94188849,Click here
Corner Brook,2019,bootleg brew co,Breweries,N/A,48.950609,-57.940366,Click here
Corner Brook,2019,bootlegger,Clothing and clothing accessories stores,N/A,48.9474314,-57.91651874,Click here
Corner Brook,2019,boston pizza,Food services and drinking places,N/A,48.9474653,-57.9171639,Click here
Corner Brook,2019,Brake's gym,"Amusement, recreation, performing arts, spectator sports and related industries, and heritage institutions",N/A,48.9507233,-57.9540976,Click here
Corner Brook,2019,breathe well respiratory clinic inc,Ambulatory health care services,N/A,48.9427639,-57.917602,Click here
Corner Brook,2019,brewed awakening,Food services and drinking places,N/A,48.95229271,-57.94302427,Click here
Corner Brook,2019,brewed on bernard,Food services and drinking places,N/A,48.9441876,-57.9426912,Click here
Corner Brook,2019,Brian patey- the mortgage group,Activities related to credit intermediation,N/A,48.9547452,-57.9437845,Click here
Corner Brook,2019,broadway family health clinic,Ambulatory health care services,N/A,48.9517997,-57.9527467,Click here
Corner Brook,2019,brook construction,Construction,N/A,48.953911,-57.9456006,Click here
Corner Brook,2019,brooke's bridal,Clothing and clothing accessories stores,N/A,48.9519658,-57.9421095,Click here
Corner Brook,2019,brookfield inn,Traveller accommodation,N/A,48.9477334,-57.9284674,Click here
Corner Brook,2019,brothers and associates,Legal services,N/A,48.9475998,-57.9295199,Click here
Corner Brook,2019,buck or two,General merchandise stores,N/A,48.9587476,-57.9241632,Click here
Corner Brook,2019,buckles busing ltd,Transit and ground passenger transportation,N/A,48.9601498,-57.9307663,Click here
Corner Brook,2019,bud's auto body ltd,Automotive repair and maintenance,N/A,48.9536255,-58.01390049,Click here
Corner Brook,2019,bulk barn,Food and beverage stores,N/A,48.960193,-57.9213253,Click here
Corner Brook,2019,burton's appliance repair,Repair and maintenance (except automotive),N/A,48.96375,-57.929542,Click here
Corner Brook,2019,business development bank of canada,Non-depository credit intermediation,N/A,48.952388,-57.9526044,Click here
Corner Brook,2019,c&m building contractors,Construction,N/A,48.945474,-57.916137,Click here
Corner Brook,2019,cal legrow insurance and financial group,"Agencies, brokerages and other insurance related activities",N/A,48.95160459,-57.9527451,Click here
Corner Brook,2019,canadian red cross,Social assistance,N/A,48.9534567,-57.9447776,Click here
Corner Brook,2019,canadian tire,Building material and garden equipment and supplies dealers,N/A,48.9581087,-57.9245186,Click here
Corner Brook,2019,canadian tire gas bar,Gasoline stations,N/A,48.9575876,-57.9215141,Click here
Corner Brook,2019,cangro services ltd,Construction,N/A,48.94899673,-57.95027264,Click here
Corner Brook,2019,cards coins and collectables,"Sporting goods, hobby, book and music stores",N/A,48.9506457,-57.95359501,Click here
Corner Brook,2019,caregivers inc,Ambulatory health care services,N/A,48.951605,-57.9527451,Click here
Corner Brook,2019,castaway lounge,Food services and drinking places,N/A,48.95207222,-57.95444876,Click here
Corner Brook,2019,castle flooring solutions,Furniture and home furnishings stores,N/A,48.939287,-57.9827031,Click here
